	3/2*n	pow(n,3)	n	pow(2,n)	log(n)	exp(n)	log2(log2(n))	n*log2(n)	log2(n)	sqrt(log2(n))	n!
1	1.00	1.00	1.00	2.00	0.00	2.72	-inf	0.00	0.00	0.00	
2	2.00	8.00	2.00	4.00	0.69	7.39	0.00	2.00	1.00	1.00	
3	3.00	27.00	3.00	8.00	1.10	20.09	0.66	4.75	1.58	1.26	
4	4.00	64.00	4.00	16.00	1.39	54.60	1.00	8.00	2.00	1.41	
5	5.00	125.00	5.00	32.00	1.61	148.41	1.22	11.61	2.32	1.52	
6	6.00	216.00	6.00	64.00	1.79	403.43	1.37	15.51	2.58	1.61	
7	7.00	343.00	7.00	128.00	1.95	1096.63	1.49	19.65	2.81	1.68	
8	8.00	512.00	8.00	256.00	2.08	2980.96	1.58	24.00	3.00	1.73	
9	9.00	729.00	9.00	512.00	2.20	8103.08	1.66	28.53	3.17	1.78	
10	10.00	1000.00	10.00	1024.00	2.30	22026.47	1.73	33.22	3.32	1.82	
11	11.00	1331.00	11.00	2048.00	2.40	59874.14	1.79	38.05	3.46	1.86	
12	12.00	1728.00	12.00	4096.00	2.48	162754.79	1.84	43.02	3.58	1.89	
13	13.00	2197.00	13.00	8192.00	2.56	442413.39	1.89	48.11	3.70	1.92	
14	14.00	2744.00	14.00	16384.00	2.64	1202604.28	1.93	53.30	3.81	1.95	
15	15.00	3375.00	15.00	32768.00	2.71	3269017.37	1.97	58.60	3.91	1.98	
16	16.00	4096.00	16.00	65536.00	2.77	8886110.52	2.00	64.00	4.00	2.00	
17	17.00	4913.00	17.00	131072.00	2.83	24154952.75	2.03	69.49	4.09	2.02	
18	18.00	5832.00	18.00	262144.00	2.89	65659969.14	2.06	75.06	4.17	2.04	
19	19.00	6859.00	19.00	524288.00	2.94	178482300.96	2.09	80.71	4.25	2.06	
20	20.00	8000.00	20.00	1048576.00	3.00	485165195.41	2.11	86.44	4.32	2.08	
21	21.00	9261.00	21.00	2097152.00	3.04	1318815734.48	2.13	92.24	4.39	2.10	
22	22.00	10648.00	22.00	4194304.00	3.09	3584912846.13	2.16	98.11	4.46	2.11	
23	23.00	12167.00	23.00	8388608.00	3.14	9744803446.25	2.18	104.04	4.52	2.13	
24	24.00	13824.00	24.00	16777216.00	3.18	26489122129.84	2.20	110.04	4.58	2.14	
25	25.00	15625.00	25.00	33554432.00	3.22	72004899337.39	2.22	116.10	4.64	2.15	
26	26.00	17576.00	26.00	67108864.00	3.26	195729609428.84	2.23	122.21	4.70	2.17	
27	27.00	19683.00	27.00	134217728.00	3.30	532048240601.80	2.25	128.38	4.75	2.18	
28	28.00	21952.00	28.00	268435456.00	3.33	1446257064291.48	2.27	134.61	4.81	2.19	
